Rank of % em relação a população geral;MUNICÍPIO;PRIMEIRA DOSE;POPULAÇÃO MUNICÍPIO 2020;% em relação a população geral
1;FLORÍNEA;4415;2653;1,6642
2;NOVA INDEPENDÊNCIA;5162;4053;1,2736
3;ADOLFO;4411;3554;1,2411
4;CAIUÁ;7245;5946;1,2185
5;URU;1366;1153;1,1847
6;ÁLVARO DE CARVALHO;6154;5274;1,1669
7;PARISI;2526;2169;1,1646
8;TAIÚVA;6441;5564;1,1576
9;ILHA COMPRIDA;13094;11362;1,1524
10;MENDONÇA;6340;5565;1,1393
11;ARCO-ÍRIS;2001;1773;1,1286
12;SANTA CLARA D'OESTE;2383;2113;1,1278
13;PRESIDENTE BERNARDES;14661;13023;1,1258
14;RIFAINA;4083;3640;1,1217
15;COSMORAMA;8139;7298;1,1152
16;TURMALINA;1885;1696;1,1114
17;MAIRINQUE;52714;47441;1,1111
18;TORRE DE PEDRA;2690;2422;1,1107
19;ÓLEO;2738;2471;1,1081
20;CAJAMAR;86297;77934;1,1073
21;BADY BASSITT;19652;17761;1,1065
22;IGARATÁ;10602;9583;1,1063
23;BORÁ;926;838;1,105
24;CERQUEIRA CÉSAR;22295;20191;1,1042
25;ÁGUAS DE SÃO PEDRO;3884;3521;1,1031
26;JERIQUARA;3466;3151;1,1
27;RIBEIRÃO BRANCO;17823;16211;1,0994
28;JARINU;33552;30617;1,0959
29;DOLCINÓPOLIS;2311;2112;1,0942
30;PEDRANÓPOLIS;2710;2481;1,0923
31;PAULISTÂNIA;1993;1834;1,0867
32;MESÓPOLIS;2059;1905;1,0808
33;CEDRAL;10029;9346;1,0731
34;LAGOINHA;5236;4889;1,071
35;ITANHAÉM;109702;103102;1,064
36;SANTA SALETE;1648;1552;1,0619
37;CAPELA DO ALTO;22270;20985;1,0612
38;CÁSSIA DOS COQUEIROS;2652;2505;1,0587
39;PARDINHO;6887;6508;1,0582
40;MERIDIANO;4027;3824;1,0531
41;BERNARDINO DE CAMPOS;11740;11158;1,0522
42;NARANDIBA;5157;4904;1,0516
43;IPIGUÁ;5755;5476;1,0509
44;PERUÍBE;72373;69001;1,0489
45;MOMBUCA;3674;3508;1,0473
46;ITAOCA;3487;3330;1,0471
47;UBIRAJARA;5027;4804;1,0464
48;TAQUARITUBA;24291;23256;1,0445
49;ILHABELA;37158;35591;1,044
50;BOTUCATU;154590;148130;1,0436
51;COLÔMBIA;6478;6216;1,0421
52;LUCIANÓPOLIS;2502;2403;1,0412
53;REGISTRO;58682;56393;1,0406
54;ALFREDO MARCONDES;4352;4184;1,0402
55;REDENÇÃO DA SERRA;3993;3839;1,0401
56;MONGAGUÁ;59893;57648;1,0389
57;SERRANA;47401;45644;1,0385
58;SANTANA DE PARNAÍBA;147756;142301;1,0383
59;TRÊS FRONTEIRAS;6047;5832;1,0369
60;ONDA VERDE;4578;4422;1,0353
61;DIVINOLÂNDIA;11469;11086;1,0345
62;SÃO BENTO DO SAPUCAÍ;11260;10893;1,0337
63;ÁLVARES FLORENCE;3769;3647;1,0335
64;BERTIOGA;66824;64723;1,0325
65;ATIBAIA;148623;144088;1,0315
66;BARUERI;285396;276982;1,0304
67;RIVERSUL;5597;5443;1,0283
68;PACAEMBU;14666;14263;1,0283
69;SANTA RITA D'OESTE;2554;2487;1,0269
70;TAQUARIVAÍ;6059;5911;1,025
71;SANTA MERCEDES;3011;2943;1,0231
72;GUARAREMA;30795;30136;1,0219
73;RUBINÉIA;3230;3170;1,0189
74;TAPIRAÍ;7911;7766;1,0187
75;ARANDU;6479;6365;1,0179
76;NOVA CANAÃ PAULISTA;1885;1852;1,0178
77;INDIAPORÃ;3954;3886;1,0175
78;SÃO JOÃO DO PAU D'ALHO;2136;2100;1,0171
79;RIBEIRÃO GRANDE;7799;7679;1,0156
80;OSASCO;709955;699944;1,0143
81;ASPÁSIA;1843;1818;1,0138
82;JACI;7294;7196;1,0136
83;SANTANA DA PONTE PENSA;1486;1467;1,013
84;PEDRA BELA;6186;6110;1,0124
85;SARUTAIÁ;3673;3630;1,0118
86;MONTE MOR;61455;60754;1,0115
87;SANTO ANTÔNIO DO PINHAL;6902;6827;1,011
88;PRAIA GRANDE;334445;330845;1,0109
89;RIBEIRA;3366;3330;1,0108
90;PRATÂNIA;5371;5317;1,0102
91;MACEDÔNIA;3724;3692;1,0087
